,timestamp,tweet_text,username,all_hashtags,followers_count
56,2021-04-21 11:42:59,"b'LG #AllInOneOneInAll AC comes with #LGThinQ Smart phone connectivity for effortless touch-free operation. Easily control with #AISpeakers, such as #GoogleAssistant or #AmazonAlexa. Buy now on https://t.co/y4uBRY4rK3 #SmartAC #DualInverterAC #LGDualCool #HotAndColdAC https://t.co/QXBcSSdue7'",b'LGIndia',"['AllInOneOneInAll', 'LGThinQ', 'AISpeakers', 'GoogleAssistant', 'AmazonAlexa', 'SmartAC', 'DualInverterAC', 'LGDualCool', 'HotAndColdAC']",173012
57,2021-04-21 11:33:00,"b'Alexa, play Inner G Radio!  . We are now streaming live through #amazonalexa #Innergradio is available in #appleappstore &amp; #googleplaystore #listenanywhere visit us online at https://t.co/S4yGQrY5yX #pledgeallegiancetoyourself #independantradio #blackowned #thisishowwedoit https://t.co/erfx0NTMER'",b'innergradio',"['amazonalexa', 'Innergradio', 'appleappstore', 'googleplaystore', 'listenanywhere', 'pledgeallegiancetoyourself', 'independantradio', 'blackowned', 'thisishowwedoit']",295
58,2021-04-21 09:46:18,"b'Amazon Launches Fire TV Cube, The Most Powerful Fire TV Device  https://t.co/kgb5GjowDN  This signature Fire TV device combines the capabilities of Amazon\xe2\x80\x99s best-selling line of Fire TV streaming media players...   #Amazon #amazonalexa #amazonfiretv #AmazonFire #digitalterminal https://t.co/J7wOQ9mK6k'",b'dtnewsonline',"['Amazon', 'amazonalexa', 'amazonfiretv', 'AmazonFire', 'digitalterminal']",587
59,2021-04-21 00:18:41,"b'Our latest blog states our position on the big Voice news, the Nuance acquisition by Microsoft. Head to https://t.co/3BDN5JFWwd . As @GoogleAI and @alexa99 battle it out, is @Microsoft just getting warmed up or will they remain a shadow boxer?  #voicetech #amazonalexa #voiceai https://t.co/o7Fg2tlWBy'",b'ShopVocal',"['voicetech', 'amazonalexa', 'voiceai']",46
60,2021-04-21 00:05:34,"b'I laugh at those who think they can damage me. They do not know who I am, they do not know what I think, they cannot even touch the things which are really mine and with which I live. -Epictetus  #amazonalexa #Anger #antique #business #Discipline  https://t.co/S0pUVa9zHh https://t.co/deq0Du9gku'",b'EveryDayStoics',"['amazonalexa', 'Anger', 'antique', 'business', 'Discipline']",251
61,2021-04-20 20:27:14,"b""@AlisonAtwell Yes. You should share your Twitch creator page (like https://t.co/WELRoH9aqb) so we can be sure to follow you and get notifications when you're live.""",b'LetMyPeopleCode',[],1179
62,2021-04-20 20:19:05,"b'Starting next week, Wednesday 28th April, 1pm, @shabbadan and D.O.G, monthly, midweek, oldskool madness show. Tune in via website https://t.co/xcGdH4rSvP, apps @GooglePlay and @AppleStore (oldskoolfm), listen via @AmazonAlexa (old school fm . Uk)  #Livestream #vinylrecords #music https://t.co/u8aYqsnMzr'",b'OldskoolFM_uk',"['Livestream', 'vinylrecords', 'music']",285
63,2021-04-20 19:39:38,b'@WildTurkey  brings an immersive experience for tasting quality #bourbons to your @amazon  #alexa #devices .  #wildturkeytasting #amazonalexa #tasting #echo  https://t.co/jKwAP7DXUb',b'gearbrain',"['bourbons', 'alexa', 'devices', 'wildturkeytasting', 'amazonalexa', 'tasting', 'echo']",3188
64,2021-04-20 17:01:24,"b'Now that you\xe2\x80\x99ve bought a @Ring doorbell, you have to do the fun task of setting it up! The process is easy. Check out our blog for a guide on how to connect Ring Doorbell, both installation and to your @Alexa devices...link in bio! #ringdoorbell #amazonalexa #smarthome https://t.co/gDt0lqtanV'",b'onit_home',"['ringdoorbell', 'amazonalexa', 'smarthome']",133
65,2021-04-20 11:30:20,b'Our short video guides you through the Amazon Alexa setup process so your customers can start controlling their home heating with simple voice commands today.  #MitsubishiElectric #Ecodan #AmazonAlexa #SmartHome #SmartControls #RenewableEnergy #HeatPumps #RenewableHeating https://t.co/byjsnOXAmv',b'Ecodanheating',"['MitsubishiElectric', 'Ecodan', 'AmazonAlexa', 'SmartHome', 'SmartControls', 'RenewableEnergy', 'HeatPumps', 'RenewableHeating']",313
66,2021-04-20 11:05:37,b'@saint__paddy_ because they are Republicans \xf0\x9f\x98\x94',b'amazonalexa_',[],638
67,2021-04-20 09:43:07,b'Is it possible to turn down the sensitivity of @alexa99 listening for her name?? I don\xe2\x80\x99t think it\xe2\x80\x99s right that I\xe2\x80\x99m speaking *quietly* in *a different room* and she still wakes up when I say her name! #AmazonAlexa',b'GeorgeOnToast',['AmazonAlexa'],502
68,2021-04-20 01:28:52,b'Is there anyone need a #amazonalexa mount Holder? #AmazonEcho #echodot #echodotmountholder #Echodot https://t.co/l633zYtJ56',b'jiajiatan_8989',"['amazonalexa', 'AmazonEcho', 'echodot', 'echodotmountholder', 'Echodot']",0
69,2021-04-20 00:05:05,"b'Take full account of what Excellencies you possess, and in gratitude remember how you would hanker after them, if you had them not. -Marcus Aurelius  #amazonalexa #Anger #antique #business #Discipline #GrowthMindset #Knowledge #KnowledgeIsPower  https://t.co/jVHjbjGvp7 https://t.co/ZkKqN2WtKf'",b'EveryDayStoics',"['amazonalexa', 'Anger', 'antique', 'business', 'Discipline', 'GrowthMindset', 'Knowledge', 'KnowledgeIsPower']",251
70,2021-04-19 21:18:09,"b'I finally got one. Now, I just need to get a minion outfit for him! #hugorobot #hugomoorebot #moorebot #amazonalexa #robotsofinstagram #robotsofig #minions #minionlookalike #jiboclone #minionrobot https://t.co/SJmOgIRN6t'",b'miraenda',"['hugorobot', 'hugomoorebot', 'moorebot', 'amazonalexa', 'robotsofinstagram', 'robotsofig', 'minions', 'minionlookalike', 'jiboclone', 'minionrobot']",128
71,2021-04-19 19:32:16,"b'Aye, looks like an abandoned federation ship was found in the WOLF star system. How much N-P is onboard? Explore and find out! #AlexaGames #Alexa #AmazonAlexa #EchoShow #VoiceFirst'",b'LucyFromSBO',"['AlexaGames', 'Alexa', 'AmazonAlexa', 'EchoShow', 'VoiceFirst']",1
72,2021-04-19 19:15:58,b'I was given this too when I had my rhinoplasty and didn\xe2\x80\x99t experience anything like this \xf0\x9f\x98\x91 unfair https://t.co/ql1vbHQRrS',b'amazonalexa_',[],638
73,2021-04-19 17:36:22,b'Top 9 Ways to Use Your Smart Speakers with Alexa #alexa #AlexaSmartSpeaker #amazonalexa #amazonecho #AmazonSmartSpeaker #Echodot #EchoDotwithClock #EchoPlus #EchoStudio #smart #smartspeaker #smarthomedesign #smarttech #speakers #Top #Ways https://t.co/XYzoatQisK... https://t.co/pupkvHPgPQ',b'learneddevice',"['alexa', 'AlexaSmartSpeaker', 'amazonalexa', 'amazonecho', 'AmazonSmartSpeaker', 'Echodot', 'EchoDotwithClock', 'EchoPlus', 'EchoStudio', 'smart', 'smartspeaker', 'smarthomedesign', 'smarttech', 'speakers', 'Top', 'Ways']",0
74,2021-04-19 17:24:13,b'Top 5 Alexa Devices That Aren\xe2\x80\x99t From Amazon in 2019 https://t.co/fk4KxlRyi9 #alaxa #amazonalexa',b'NerdSuburban',"['alaxa', 'amazonalexa']",114
75,2021-04-19 15:11:46,b'Your Amazon Echo speakers can also double as regular Bluetooth speakers. Find out how here:  https://t.co/naaZTFeMzO',b'bigtechquestion',[],475
76,2021-04-19 13:48:23,b'@SoccerDownHere @Longshoe @OSGNelson   How can @UEFA ban players from other federations (CONCACAF like the @USMNT) from participating in the World Cup  @FIFAcom has not made that proclamtion  enjoying listening via @Twitch on my #AmazonAlexa',b'chriskilroy',['AmazonAlexa'],220
77,2021-04-19 11:17:19,b'Is there anyone need a #amazonalexa mount Holder? #AmazonEcho #echodot #echodotmountholder',b'jiajiatan_8989',"['amazonalexa', 'AmazonEcho', 'echodot', 'echodotmountholder']",0
78,2021-04-19 11:12:59,"b'Really proud of this! #ErskineRadio is a lovely channel - available everywhere. Playing great music for our #Veterans - allowing families &amp; supporters to make requests, send messages etc. Interviews &amp; news, etc from @ErskineCharity. Please tune in online or #AmazonAlexa! \xf0\x9f\x98\x8e\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf\xf0\x9f\x8e\x96\xef\xb8\x8f https://t.co/WCpVN3RJn1'",b'IanCMBE',"['ErskineRadio', 'Veterans', 'AmazonAlexa']",896
